E=35 keV
  Dst > -20 nT
        2,           0,         202,         442,         303,         234,         372,         364,         349,         333,         345,         354,         393,         322,         388,         460,         498,         552,         555,         560,         620,         760,         794,         840,         902,         916,         823
        4,           0,         136,         255,         450,         459,         533,         458,         373,         336,         348,         362,         442,         427,         444,         359,         261,         318,         306,         318,         442,         509,         469,         530,         727,        1348,        2294
        6,           0,         180,         286,         361,         305,         426,         421,         330,         339,         319,         293,         299,         266,         301,         361,         349,         379,         390,         464,         749,        1013,        1104,        1234,        1426,        1834,        2166
        8,           0,         305,         486,         257,         117,          91,         103,         146,         225,         314,         306,         358,         309,         404,         456,         422,         476,         492,         519,         765,        1017,        1176,        1504,        2183,        2953,        1140
       10,           0,         169,         291,         362,         345,         372,         278,         207,         180,         175,         151,         131,         106,         134,         162,         194,         284,         360,         474,         580,         777,        1207,        1869,        3274,        5198,         581
       12,           0,         108,         255,         327,         284,         389,         413,         338,         319,         316,         317,         328,         345,         321,         355,         339,         419,         414,         480,         636,         824,         847,         880,        1215,        2215,          82
       14,           0,         168,         302,         273,         321,         314,         303,         310,         371,         391,         436,         470,         377,         465,         447,         384,         395,         386,         429,         503,         612,         498,         434,         442,         910,          44
       16,           0,         142,         420,         421,         296,         435,         410,         331,         299,         295,         175,         151,         100,          80,          99,         114,         139,         157,         240,         420,         545,         686,         890,        1198,        2646,        1346
       18,           0,         141,         334,         426,         325,         324,         251,         111,         177,         245,         299,         306,         265,         308,         329,         370,         402,         412,         377,         413,         507,         590,         774,        1072,        1656,        1125
       20,           0,         103,         300,         119,         117,         217,         268,         331,         396,         429,         438,         458,         381,         389,         381,         326,         335,         382,         457,         526,         550,         669,         735,         665,         663,         692
       22,           0,          44,         208,         397,         443,         411,         394,         276,         214,         192,         216,         248,         186,         232,         283,         314,         375,         399,         409,         531,         596,         639,         753,         846,        1017,        1288
  Dst < -50 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,          13,          60,          98,          88,          82,          41,          21,          26,          47,          40,          54,          51,          68,          63,          33,          39,          45,          48,          69,         103,         120,         134,         125,         118,         104
        2,           0,          44,         117,          65,          49,          61,          86,          81,          81,         105,          90,         100,          77,          64,          74,          68,          75,          79,          57,          75,          91,          78,          64,          71,          71,          79
        4,           0,          48,          47,         114,         106,          93,          59,          31,          53,          76,          70,          66,          51,          50,          59,          42,          40,          33,          25,          40,          50,          49,          56,          61,          63,          72
        6,           0,          36,          74,          62,          49,          81,          75,          36,          37,          43,          36,          23,           6,           7,           7,           9,           8,          11,          14,          38,          75,          66,          67,         123,         168,         250
        8,           0,          53,          71,          47,          21,          12,           8,          11,          16,          21,          27,          45,          65,          62,          66,          33,          61,          71,          70,         121,         136,         131,         149,         124,         157,         173
       10,           0,          14,          55,          70,          42,          39,          37,          25,          27,          41,          35,          27,          28,          33,          34,          41,          45,          42,          43,          43,          68,         116,         176,         372,         883,          64
       12,           0,          26,          13,          28,          61,          72,          71,          68,          74,          73,          61,          64,          23,          19,          21,          25,          38,          41,          37,          79,         109,         133,         204,         288,         389,           0
       14,           0,          28,          71,          70,          40,          36,          47,          62,          76,          84,         101,          93,         103,         130,         141,         105,          72,          87,          97,         129,         153,         135,          76,          19,           0,           0
       16,           0,          16,          48,          54,          88,         120,         138,         106,          81,          70,          51,          40,          31,          34,          45,          59,          50,          57,          67,          79,         106,         160,         204,         301,         523,         118
       18,           0,          15,          46,          82,          64,          78,          51,          32,          53,          79,          82,         100,          89,          79,          85,          84,          83,          75,          81,          95,         110,         129,         129,         171,         280,         309
       20,           0,          21,          28,           5,           8,          22,          47,          67,          78,          73,          76,          93,          90,          94,          66,          60,          82,          82,          84,          94,          99,         107,         127,         139,         142,         161
       22,           0,          10,          23,          27,          42,          53,          48,          41,          30,          27,          44,          47,          32,          26,          31,          40,          40,          42,          43,          49,          51,          30,          36,          51,          58,          80
E=105 keV
  Dst > -20 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,         654,        2064,        2278,        2173,        2821,        2635,        2279,        2501,        2570,        2264,        2330,        1872,        1797,        1864,        1878,        2151,        2322,        2589,        3409,        4216,        4658,        5118,        5815,        7127,        9419
        2,           0,         829,        2015,        2104,        1879,        2523,        2487,        2185,        2558,        2615,        2277,        2141,        1475,        1405,        1538,        1457,        2021,        2280,        2542,        3390,        4352,        4842,        5387,        6035,        6985,        9272
        4,           0,        1323,        2220,        2109,        1929,        2434,        2414,        2167,        2521,        2710,        2781,        2500,        1694,        1557,        1608,        1546,        2072,        2272,        2691,        3561,        4434,        5200,        6076,        6974,        8772,       12685
        6,           0,        1297,        2987,        2748,        2211,        2942,        2803,        2559,        2515,        2130,        1986,        1934,        1438,        1466,        1546,        1446,        1983,        2255,        2650,        3741,        4962,        5820,        7296,        9408,       14311,       13607
        8,           0,        1004,        2865,        3431,        3084,        3234,        2674,        2124,        2306,        2405,        2410,        2230,        1641,        1530,        1539,        1497,        2074,        2426,        2872,        4095,        5679,        6965,        8673,       12427,       17696,        6540
       10,           0,        1180,        2854,        2709,        2410,        3278,        3285,        2733,        3063,        2837,        2561,        2335,        1592,        1499,        1640,        1532,        2015,        2441,        2949,        4189,        5605,        6829,        8995,       14349,       20329,         720
       12,           0,         952,        2659,        2769,        2352,        2988,        2719,        2207,        2372,        2300,        2281,        2187,        1645,        1466,        1595,        1514,        2132,        2638,        3260,        4602,        6055,        7594,       10092,       15865,       21844,         251
       14,           0,         832,        2218,        2519,        2334,        2420,        2078,        1757,        1919,        1931,        1803,        1710,        1373,        1430,        1577,        1571,        2045,        2520,        3026,        4569,        6370,        7862,       10071,       16512,       20208,         525
       16,           0,         749,        2886,        2713,        1731,        2135,        2166,        2025,        2173,        2141,        1887,        1877,        1401,        1349,        1435,        1197,        1584,        1913,        2437,        3535,        4885,        6073,        7776,       11767,       16842,        4042
       18,           0,         612,        1944,        2572,        2539,        2904,        2434,        1808,        1970,        1854,        1998,        2211,        1847,        1890,        1985,        1932,        2218,        2483,        2681,        3285,        3961,        4471,        5197,        6539,       10443,        8720
       20,           0,         592,        2422,        2562,        2073,        3022,        2992,        2579,        2657,        2583,        2334,        1960,        1279,        1231,        1268,        1250,        1591,        1758,        1990,        2519,        3010,        3389,        4141,        5140,        7188,       11573
